                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.96722,                0.49845,                 1.0467,                0.84426,                0.86094,                0.90107,                0.64955,                0.99235,                0.56135,                 1.1016,              0.0014508,              0.0014508,              0.0014508
                    134,                0.92953,                0.48111,                  1.012,                0.85585,                0.83975,                 0.8963,                0.64715,                0.98549,                0.56182,                 1.0959,              0.0014492,              0.0014492,              0.0014492
                    135,                0.93013,                0.47052,                 1.0524,                0.84634,                0.85729,                0.89605,                 0.6526,                0.96714,                0.55247,                 1.0835,              0.0014475,              0.0014475,              0.0014475
                    136,                0.95555,                0.48358,                   1.02,                0.86314,                0.85211,                0.90208,                0.63985,                 1.0015,                0.56782,                 1.1029,              0.0014459,              0.0014459,              0.0014459
                    137,                0.95255,                0.48561,                 1.0262,                0.85687,                0.83497,                0.89694,                0.64644,                0.99539,                0.57384,                 1.1048,              0.0014442,              0.0014442,              0.0014442
                    138,                0.92708,                0.47352,                 1.0319,                0.87294,                0.83817,                0.90507,                0.64955,                0.99058,                0.54052,                  1.097,              0.0014426,              0.0014426,              0.0014426
                    139,                0.94342,                0.47185,                 1.0157,                  0.833,                0.87305,                0.90213,                 0.6533,                0.97793,                0.55683,                 1.0953,              0.0014409,              0.0014409,              0.0014409
                    140,                0.92089,                0.47182,                  1.031,                0.85372,                0.82935,                0.89632,                0.64989,                0.98398,                0.56381,                 1.0986,              0.0014393,              0.0014393,              0.0014393
                    141,                0.93038,                0.46531,                 1.0164,                0.86018,                0.84737,                0.90439,                0.65498,                0.98292,                0.53799,                 1.0966,              0.0014376,              0.0014376,              0.0014376
                    142,                 0.9278,                0.47003,                  1.025,                0.85766,                0.85312,                0.89928,                0.65136,                0.98283,                0.55676,                    1.1,               0.001436,               0.001436,               0.001436
                    143,                0.90584,                0.45577,                  1.024,                0.86579,                0.85032,                0.90268,                0.65694,                0.99256,                0.55481,                 1.1024,              0.0014343,              0.0014343,              0.0014343
                    144,                 0.9088,                0.45241,                 1.0235,                0.84516,                0.86975,                0.90474,                0.65435,                0.99134,                0.55909,                 1.0997,              0.0014327,              0.0014327,              0.0014327
                    145,                0.92619,                0.47287,                 1.0349,                0.85229,                0.87121,                0.90232,                0.65599,                0.98427,                0.55176,                 1.1007,               0.001431,               0.001431,               0.001431
                    146,                0.89646,                0.45583,                 1.0046,                0.84714,                0.86671,                0.89559,                0.64965,                 0.9701,                0.55725,                 1.0956,              0.0014294,              0.0014294,              0.0014294
                    147,                0.90734,                0.44849,                 1.0037,                0.85201,                0.85291,                0.89717,                0.65172,                0.97054,                0.57197,                 1.0952,              0.0014277,              0.0014277,              0.0014277
                    148,                0.89296,                0.44027,                 1.0072,                0.85439,                0.84755,                0.90213,                0.64916,                0.98063,                0.55191,                 1.0958,              0.0014261,              0.0014261,              0.0014261
                    149,                0.91569,                0.45347,                  1.021,                0.82161,                0.87345,                0.89687,                0.64863,                0.98106,                0.56646,                 1.0946,              0.0014244,              0.0014244,              0.0014244
