                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.52231,                0.62066,                0.52232,                 0.9346,                0.82486,                0.83586,                0.88303,                0.74608,                0.81544,                0.82485,                0.87015,                0.57938,                 0.5693,                0.60588,                0.59564,                 1.0274,               0.009208,               0.009208,               0.009208
                     83,                0.54032,                 0.6178,                0.51185,                0.93587,                 0.8509,                0.80681,                0.88325,                0.75049,                0.85608,                0.78451,                0.86608,                0.58006,                0.55692,                 0.6175,                0.59193,                 1.0154,              0.0091981,              0.0091981,              0.0091981
                     84,                0.52613,                0.62841,                0.51861,                0.93139,                0.83511,                0.83322,                0.88621,                0.74566,                0.82644,                 0.8236,                0.87373,                0.57369,                0.57392,                0.61594,                0.60378,                 1.0287,              0.0091882,              0.0091882,              0.0091882
                     85,                0.53978,                 0.6172,                0.50799,                0.94275,                0.82441,                0.79473,                0.86623,                0.72956,                0.82273,                0.78402,                0.85318,                0.57093,                0.55305,                0.60299,                0.60294,                 1.0069,              0.0091783,              0.0091783,              0.0091783
                     86,                0.52778,                0.61454,                0.49632,                0.93637,                0.83086,                0.80208,                0.87001,                0.73944,                 0.8272,                0.79842,                0.86168,                0.57089,                0.56216,                0.63082,                0.64732,                  1.016,              0.0091684,              0.0091684,              0.0091684
                     87,                0.51573,                 0.6065,                0.49178,                0.92567,                 0.8311,                0.83824,                0.88736,                0.76106,                0.82524,                0.83232,                0.87682,                 0.5836,                0.55212,                0.59733,                0.57675,                 1.0198,              0.0091585,              0.0091585,              0.0091585
                     88,                0.52764,                0.61392,                  0.511,                0.93455,                0.84217,                0.81032,                0.87816,                0.74554,                0.83203,                0.80155,                0.86326,                0.56751,                0.56526,                0.60011,                0.60579,                 1.0254,              0.0091486,              0.0091486,              0.0091486
                     89,                0.53102,                0.61196,                0.51296,                0.93349,                0.82426,                0.83431,                0.88246,                0.74455,                0.81256,                0.82337,                0.86783,                 0.5765,                0.56787,                0.59789,                0.61003,                 1.0173,              0.0091387,              0.0091387,              0.0091387
                     90,                0.51632,                0.63104,                0.48854,                0.92736,                0.84745,                0.80375,                0.87379,                0.74053,                0.83818,                0.79426,                0.86483,                 0.5729,                0.56354,                0.61429,                0.61474,                 1.0161,              0.0091288,              0.0091288,              0.0091288
                     91,                0.52574,                0.61816,                0.48919,                0.92609,                0.80922,                0.82661,                0.88555,                0.74775,                0.80681,                0.81184,                0.87459,                0.57701,                 0.5664,                0.61357,                0.61145,                 1.0327,              0.0091189,              0.0091189,              0.0091189
                     92,                0.51862,                0.60573,                 0.5006,                0.92463,                0.82321,                 0.8276,                0.88867,                 0.7495,                0.81727,                0.82026,                0.87606,                0.59424,                0.57086,                0.59477,                0.60388,                 1.0234,               0.009109,               0.009109,               0.009109
                     93,                0.52642,                0.63682,                0.51041,                0.93243,                0.79672,                0.84623,                0.89296,                0.75621,                0.78945,                0.84486,                0.88738,                 0.5868,                0.57073,                0.60315,                0.58026,                  1.021,              0.0090991,              0.0090991,              0.0090991
                     94,                0.52265,                0.62765,                0.50237,                0.92425,                 0.8263,                0.83707,                0.88756,                0.75082,                0.82083,                0.82775,                0.87992,                0.58801,                0.55715,                0.60928,                0.58622,                 1.0212,              0.0090892,              0.0090892,              0.0090892
